#CRS: PROJCRS["NAD83(HARN) / Illinois East",BASEGEOGCRS["NAD83(HARN)",DATUM["NAD83 (High Accuracy Reference Network)",ELLIPSOID["GRS 1980",6378137,298.257222101,LENGTHUNIT["metre",1]]],PRIMEM["Greenwich",0,ANGLEUNIT["degree",0.0174532925199433]],ID["EPSG",4152]],CONVERSION["unknown",METHOD["Transverse Mercator",ID["EPSG",9807]],PARAMETER["Latitude of natural origin",36.6666666666667,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8801]],PARAMETER["Longitude of natural origin",-88.3333333333333,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8802]],PARAMETER["Scale factor at natural origin",0.999975,SCALEUNIT["unity",1],ID["EPSG",8805]],PARAMETER["False easting",984250,LENGTHUNIT["us_survey_feet",0.304800609601219],ID["EPSG",8806]],PARAMETER["False northing",0,LENGTHUNIT["us_survey_feet",0.304800609601219],ID["EPSG",8807]]],CS[Cartesian,2],AXIS["easting (X)",east,ORDER[1],LENGTHUNIT["us_survey_feet",0.304800609601219]],AXIS["northing (Y)",north,ORDER[2],LENGTHUNIT["us_survey_feet",0.304800609601219]]]
mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
1178336.14078403217718005,1900024.23742353240959346,559.13433125972005655,-418.0398522550542566,1,-0.10508692304881606,-0.03763342169969519,0.11162229089520999
1179157.69846743461675942,1900040.53817121894098818,470.69148522550551661,-636.19887247278370523,1,0.3113608902103806,0.11150365185142164,0.33072445982842535
1178372.00242894259281456,1901217.45215418818406761,866.91543545878698751,-544.21831259720045182,1,-0.10224666688986872,-0.03661627746589602,0.10860539887845015
1179131.61727113602682948,1901250.05364956124685705,790.8545878693623763,-745.27838258164842955,1,0.72869469304737322,0.26095801340363778,0.77401229992486464
1178759.96022388245910406,1900539.34105042740702629,646.39793934681188148,-577.23697511664056492,1,-0.1615284011577387,-0.05784607884697834,0.17157387102512492
1179806.46822535921819508,1900584.98314394988119602,541.44576205287751236,-866.73989113530330997,1,0.08364112565482174,0.02995331542479107,0.08884277689121782
1178751.5967153285164386,1900782.16240876074880362,712.14045489891202578,-600.23211508553652038,1,-0.87030474001903713,-0.31167098948412786,0.92442909202686774
1179223.42609489057213068,1902416.40054744645021856,1114.85021384136985034,-897.40007776049765198,1,0.03175763968101819,0.01137295309069941,0.03373265094997176
1178527.25821167882531881,1900666.40054744691587985,704.32800349922308669,-528.44600505443168004,1,0.75880692046519016,0.27174171626313637,0.80599721023307536
1179458.14324817643500865,1900184.19251825078390539,472.75515163297069421,-733.04378888024893968,1,-0.28681677673716877,-0.1027139856806798,0.30465394511200705
1179304.85857664351351559,1901563.75456204637885094,857.77634136858546299,-820.3073969673407646,1,-0.38827776121013358,-0.13904889685670696,0.4124247998937754
